This file contains the downward and upward spectral flux (per wavelength) at TOA and the secondary eclipse depth (= planet to star flux ratio).
Spectral fluxes given in [erg s^-1 cm^-3].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     planet/star flux ratio  
0       0.340566667       0.34                 0.00113333333      0               3.04571e+10     not_avail.              
1       0.341701889       0.341133333          0.00113711111      0               3.14244e+10     not_avail.              
2       0.342840895       0.342270444          0.00114090148      0               3.23508e+10     not_avail.              
3       0.343983698       0.343411346          0.00114470449      0               3.33921e+10     not_avail.              
4       0.34513031        0.34455605           0.00114852017      0               3.43789e+10     not_avail.              
5       0.346280745       0.345704571          0.00115234857      0               3.53121e+10     not_avail.              
6       0.347435014       0.346856919          0.00115618973      0               3.65313e+10     not_avail.              
7       0.348593131       0.348013109          0.0011600437       0               3.76182e+10     not_avail.              
8       0.349755108       0.349173153          0.00116391051      0               3.87439e+10     not_avail.              
9       0.350920958       0.350337063          0.00116779021      0               4.00029e+10     not_avail.              
10      0.352090695       0.351504853          0.00117168284      0               4.12774e+10     not_avail.              
11      0.35326433        0.352676536          0.00117558845      0               4.24783e+10     not_avail.              
12      0.354441878       0.353852125          0.00117950708      0               4.38049e+10     not_avail.              
13      0.355623351       0.355031632          0.00118343877      0               4.51453e+10     not_avail.              
14      0.356808762       0.35621507           0.00118738357      0               4.65127e+10     not_avail.              
15      0.357998125       0.357402454          0.00119134151      0               4.78856e+10     not_avail.              
16      0.359191452       0.358593796          0.00119531265      0               4.91627e+10     not_avail.              
17      0.360388757       0.359789108          0.00119929703      0               5.05483e+10     not_avail.              
18      0.361590053       0.360988405          0.00120329468      0               5.18734e+10     not_avail.              
19      0.362795353       0.3621917            0.00120730567      0               5.33299e+10     not_avail.              
20      0.364004671       0.363399006          0.00121133002      0               5.48981e+10     not_avail.              
21      0.365218019       0.364610336          0.00121536779      0               5.60597e+10     not_avail.              
22      0.366435413       0.365825703          0.00121941901      0               5.78384e+10     not_avail.              
23      0.367656864       0.367045122          0.00122348374      0               5.96692e+10     not_avail.              
24      0.368882387       0.368268606          0.00122756202      0               6.00539e+10     not_avail.              
25      0.370111995       0.369496168          0.00123165389      0               6.16859e+10     not_avail.              
26      0.371345702       0.370727822          0.00123575941      0               6.37638e+10     not_avail.              
27      0.372583521       0.371963581          0.0012398786       0               6.6037e+10      not_avail.              
28      0.373825466       0.37320346           0.00124401153      0               6.48756e+10     not_avail.              
29      0.375071551       0.374447472          0.00124815824      0               6.87569e+10     not_avail.              
30      0.376321789       0.37569563           0.00125231877      0               7.1378e+10      not_avail.              
31      0.377576195       0.376947949          0.00125649316      0               7.30535e+10     not_avail.              
32      0.378834782       0.378204442          0.00126068147      0               6.97687e+10     not_avail.              
33      0.380097565       0.379465123          0.00126488374      0               6.82174e+10     not_avail.              
34      0.381364557       0.380730007          0.00126910002      0               6.18998e+10     not_avail.              
35      0.382635772       0.381999107          0.00127333036      0               6.14706e+10     not_avail.              
36      0.383911225       0.383272437          0.00127757479      0               5.11724e+10     not_avail.              
37      0.385190929       0.384550012          0.00128183337      0               6.28648e+10     not_avail.              
38      0.386474899       0.385831846          0.00128610615      0               7.18367e+10     not_avail.              
39      0.387763148       0.387117952          0.00129039317      0               7.4828e+10      not_avail.              
40      0.389055692       0.388408345          0.00129469448      0               8.50701e+10     not_avail.              
41      0.390352544       0.389703039          0.00129901013      0               8.97734e+10     not_avail.              
42      0.39165372        0.391002049          0.00130334016      0               9.58072e+10     not_avail.              
43      0.392959232       0.39230539           0.00130768463      0               1.00602e+11     not_avail.              
44      0.394269096       0.393613074          0.00131204358      0               1.05687e+11     not_avail.              
45      0.395583326       0.394925118          0.00131641706      0               1.08977e+11     not_avail.              
46      0.396901937       0.396241535          0.00132080512      0               1.11616e+11     not_avail.              
47      0.398224944       0.39756234           0.0013252078       0               1.12962e+11     not_avail.              
48      0.39955236        0.398887548          0.00132962516      0               1.15647e+11     not_avail.              
49      0.400884202       0.400217173          0.00133405724      0               1.1288e+11      not_avail.              
50      0.402220482       0.40155123           0.0013385041       0               1.13019e+11     not_avail.              
51      0.403561217       0.402889734          0.00134296578      0               1.10831e+11     not_avail.              
52      0.404906421       0.4042327            0.00134744233      0               1.02949e+11     not_avail.              
53      0.406256109       0.405580142          0.00135193381      0               1.02339e+11     not_avail.              
54      0.407610296       0.406932076          0.00135644025      0               8.20187e+10     not_avail.              
55      0.408968997       0.408288516          0.00136096172      0               8.16429e+10     not_avail.              
56      0.410332227       0.409649478          0.00136549826      0               9.18125e+10     not_avail.              
57      0.411700001       0.411014976          0.00137004992      0               8.7557e+10      not_avail.              
58      0.413072335       0.412385026          0.00137461675      0               1.13945e+11     not_avail.              
59      0.414449243       0.413759643          0.00137919881      0               1.10448e+11     not_avail.              
60      0.41583074        0.415138842          0.00138379614      0               1.09334e+11     not_avail.              
61      0.417216842       0.416522638          0.00138840879      0               1.27598e+11     not_avail.              
62      0.418607565       0.417911047          0.00139303682      0               1.42713e+11     not_avail.              
