This file contains the downward and upward spectral flux (per wavelength) at TOA and the secondary eclipse depth (= planet to star flux ratio).
Spectral fluxes given in [erg s^-1 cm^-3].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     planet/star flux ratio  
0       0.340566667       0.34                 0.00113333333      1.93775e+10     4.70191e+09     0.00036575              
1       0.341701889       0.341133333          0.00113711111      1.91356e+10     4.6642e+09      0.000367403             
2       0.342840895       0.342270444          0.00114090148      1.88967e+10     4.62803e+09     0.000369163             
3       0.343983698       0.343411346          0.00114470449      1.86608e+10     4.59366e+09     0.000371054             
4       0.34513031        0.34455605           0.00114852017      1.84277e+10     4.56243e+09     0.000373192             
5       0.346280745       0.345704571          0.00115234857      1.81975e+10     4.53306e+09     0.00037548              
6       0.347435014       0.346856919          0.00115618973      1.79701e+10     4.5053e+09      0.000377903             
7       0.348593131       0.348013109          0.0011600437       1.77456e+10     4.47914e+09     0.000380464             
8       0.349755108       0.349173153          0.00116391051      1.75237e+10     4.45463e+09     0.000383171             
9       0.350920958       0.350337063          0.00116779021      1.73047e+10     4.43178e+09     0.000386032             
10      0.352090695       0.351504853          0.00117168284      1.70883e+10     4.41061e+09     0.000389053             
11      0.35326433        0.352676536          0.00117558845      1.68745e+10     4.39114e+09     0.000392242             
12      0.354441878       0.353852125          0.00117950708      1.66634e+10     4.37342e+09     0.000395608             
13      0.355623351       0.355031632          0.00118343877      1.64549e+10     4.35745e+09     0.000399158             
14      0.356808762       0.35621507           0.00118738357      1.6249e+10      4.34328e+09     0.000402902             
15      0.357998125       0.357402454          0.00119134151      1.60456e+10     4.33092e+09     0.000406848             
16      0.359191452       0.358593796          0.00119531265      1.58447e+10     4.32039e+09     0.000411004             
17      0.360388757       0.359789108          0.00119929703      1.56463e+10     4.31174e+09     0.000415384             
18      0.361590053       0.360988405          0.00120329468      1.54503e+10     4.305e+09       0.000419995             
19      0.362795353       0.3621917            0.00120730567      1.52568e+10     4.30023e+09     0.000424852             
20      0.364004671       0.363399006          0.00121133002      1.50656e+10     4.29745e+09     0.000429964             
21      0.365218019       0.364610336          0.00121536779      1.48768e+10     4.29699e+09     0.000435375             
22      0.366435413       0.365825703          0.00121941901      1.46903e+10     4.29968e+09     0.000441177             
23      0.367656864       0.367045122          0.00122348374      1.45061e+10     4.30455e+09     0.000447284             
24      0.368882387       0.368268606          0.00122756202      1.43242e+10     4.31146e+09     0.000453692             
25      0.370111995       0.369496168          0.00123165389      1.41446e+10     4.32067e+09     0.000460435             
26      0.371345702       0.370727822          0.00123575941      1.39672e+10     4.33211e+09     0.00046752              
27      0.372583521       0.371963581          0.0012398786       1.37919e+10     4.34585e+09     0.000474961             
28      0.373825466       0.37320346           0.00124401153      1.36188e+10     4.36171e+09     0.000482752             
29      0.375071551       0.374447472          0.00124815824      1.34479e+10     4.38024e+09     0.000490966             
30      0.376321789       0.37569563           0.00125231877      1.32791e+10     4.40111e+09     0.000499577             
31      0.377576195       0.376947949          0.00125649316      1.31123e+10     4.4244e+09      0.000508607             
32      0.378834782       0.378204442          0.00126068147      1.29477e+10     4.44981e+09     0.000518033             
33      0.380097565       0.379465123          0.00126488374      1.2785e+10      4.47722e+09     0.000527855             
34      0.381364557       0.380730007          0.00126910002      1.26244e+10     4.50614e+09     0.000538024             
35      0.382635772       0.381999107          0.00127333036      1.24658e+10     4.53921e+09     0.000548869             
36      0.383911225       0.383272437          0.00127757479      1.23091e+10     4.57396e+09     0.000560111             
37      0.385190929       0.384550012          0.00128183337      1.21544e+10     4.6163e+09      0.000572492             
38      0.386474899       0.385831846          0.00128610615      1.20016e+10     4.66108e+09     0.000585405             
39      0.387763148       0.387117952          0.00129039317      1.18506e+10     4.70713e+09     0.000598717             
40      0.389055692       0.388408345          0.00129469448      1.17016e+10     4.75702e+09     0.00061277              
41      0.390352544       0.389703039          0.00129901013      1.15544e+10     4.80914e+09     0.000627376             
42      0.39165372        0.391002049          0.00130334016      1.1409e+10      4.86449e+09     0.000642683             
43      0.392959232       0.39230539           0.00130768463      1.12655e+10     4.92282e+09     0.000658677             
44      0.394269096       0.393613074          0.00131204358      1.11237e+10     4.98446e+09     0.000675426             
45      0.395583326       0.394925118          0.00131641706      1.09836e+10     5.04933e+09     0.00069294              
46      0.396901937       0.396241535          0.00132080512      1.08454e+10     5.11761e+09     0.000711266             
47      0.398224944       0.39756234           0.0013252078       1.07088e+10     5.18936e+09     0.000730435             
48      0.39955236        0.398887548          0.00132962516      1.05739e+10     5.26474e+09     0.000750499             
49      0.400884202       0.400217173          0.00133405724      1.04407e+10     5.34361e+09     0.00077146              
50      0.402220482       0.40155123           0.0013385041       1.03092e+10     5.4262e+09      0.000793379             
51      0.403561217       0.402889734          0.00134296578      1.01792e+10     5.51225e+09     0.000816246             
52      0.404906421       0.4042327            0.00134744233      1.00509e+10     5.60044e+09     0.000839891             
53      0.406256109       0.405580142          0.00135193381      9.92425e+09     5.69271e+09     0.000864629             
54      0.407610296       0.406932076          0.00135644025      9.79912e+09     5.7859e+09      0.000890004             
55      0.408968997       0.408288516          0.00136096172      9.67555e+09     5.88597e+09     0.000916959             
56      0.410332227       0.409649478          0.00136549826      9.55352e+09     5.99765e+09     0.000946293             
57      0.411700001       0.411014976          0.00137004992      9.43301e+09     6.10608e+09     0.00097571              
58      0.413072335       0.412385026          0.00137461675      9.31399e+09     6.23122e+09     0.00100843              
59      0.414449243       0.413759643          0.00137919881      9.19646e+09     6.3478e+09      0.00104042              
60      0.41583074        0.415138842          0.00138379614      9.08039e+09     6.47662e+09     0.00107511              
61      0.417216842       0.416522638          0.00138840879      8.96577e+09     6.60964e+09     0.00111121              
62      0.418607565       0.417911047          0.00139303682      8.85258e+09     6.74703e+09     0.00114882              
63      0.420002924       0.419304084          0.00139768028      8.74079e+09     6.88409e+09     0.00118715              
64      0.421402934       0.420701764          0.00140233921      8.6304e+09      7.03244e+09     0.00122824              
65      0.42280761        0.422104103          0.00140701368      8.52139e+09     7.18358e+09     0.00127069              
66      0.424216969       0.423511117          0.00141170372      8.41373e+09     7.3379e+09      0.00131459              
67      0.425631025       0.424922821          0.0014164094       8.30742e+09     7.4878e+09      0.00135861              
68      0.427049795       0.42633923           0.00142113077      8.20244e+09     7.63114e+09     0.00140234              
69      0.428473295       0.427760361          0.00142586787      8.09876e+09     7.74651e+09     0.00144177              
70      0.429901539       0.429186229          0.00143062076      7.99638e+09     7.78377e+09     0.00146725              
