This file contains the downward and upward spectral flux (per wavelength) at TOA and the secondary eclipse depth (= planet to star flux ratio).
Spectral fluxes given in [erg s^-1 cm^-3].
bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     planet/star flux ratio  
0       0.340566667       0.34                 0.00113333333      1.93775e+10     6.88936e+09     0.000535907             
1       0.341701889       0.341133333          0.00113711111      1.91356e+10     6.95862e+09     0.000548136             
2       0.342840895       0.342270444          0.00114090148      1.88967e+10     7.03075e+09     0.000560819             
3       0.343983698       0.343411346          0.00114470449      1.86608e+10     7.11054e+09     0.000574356             
4       0.34513031        0.34455605           0.00114852017      1.84277e+10     7.19565e+09     0.000588582             
5       0.346280745       0.345704571          0.00115234857      1.81975e+10     7.28411e+09     0.000603354             
6       0.347435014       0.346856919          0.00115618973      1.79701e+10     7.38411e+09     0.000619376             
7       0.348593131       0.348013109          0.0011600437       1.77456e+10     7.48548e+09     0.000635826             
8       0.349755108       0.349173153          0.00116391051      1.75237e+10     7.59269e+09     0.000653096             
9       0.350920958       0.350337063          0.00116779021      1.73047e+10     7.70783e+09     0.000671394             
10      0.352090695       0.351504853          0.00117168284      1.70883e+10     7.82829e+09     0.000690521             
11      0.35326433        0.352676536          0.00117558845      1.68745e+10     7.95225e+09     0.00071034              
12      0.354441878       0.353852125          0.00117950708      1.66634e+10     8.08415e+09     0.00073127              
13      0.355623351       0.355031632          0.00118343877      1.64549e+10     8.22184e+09     0.00075315              
14      0.356808762       0.35621507           0.00118738357      1.6249e+10      8.36577e+09     0.000776046             
15      0.357998125       0.357402454          0.00119134151      1.60456e+10     8.51551e+09     0.00079995              
16      0.359191452       0.358593796          0.00119531265      1.58447e+10     8.66782e+09     0.000824581             
17      0.360388757       0.359789108          0.00119929703      1.56463e+10     8.82902e+09     0.000850568             
18      0.361590053       0.360988405          0.00120329468      1.54503e+10     8.9946e+09      0.00087751              
19      0.362795353       0.3621917            0.00120730567      1.52568e+10     9.17181e+09     0.00090615              
20      0.364004671       0.363399006          0.00121133002      1.50656e+10     9.35869e+09     0.000936347             
21      0.365218019       0.364610336          0.00121536779      1.48768e+10     9.54188e+09     0.000966791             
22      0.366435413       0.365825703          0.00121941901      1.46903e+10     9.74919e+09     0.00100033              
23      0.367656864       0.367045122          0.00122348374      1.45061e+10     9.96381e+09     0.00103534              
24      0.368882387       0.368268606          0.00122756202      1.43242e+10     1.01495e+10     0.00106803              
25      0.370111995       0.369496168          0.00123165389      1.41446e+10     1.03784e+10     0.00110598              
26      0.371345702       0.370727822          0.00123575941      1.39672e+10     1.0622e+10      0.00114632              
27      0.372583521       0.371963581          0.0012398786       1.37919e+10     1.0877e+10      0.00118876              
28      0.373825466       0.37320346           0.00124401153      1.36188e+10     1.10538e+10     0.00122344              
29      0.375071551       0.374447472          0.00124815824      1.34479e+10     1.13671e+10     0.0012741               
30      0.376321789       0.37569563           0.00125231877      1.32791e+10     1.16552e+10     0.001323                
